Topic,First occurrence year,First valid occurrence date,reviews,research_review_ratio,reviews_div_research,reviews_ratio,Years from First ever occurrence to (first valid) Start date,Years since Start date,# Years of Topic coverage in dataset (After dates filtering),Average topic popularity value (After dates filtering),Max topic popularity value (After dates filtering),Minimum topic popularity value (After dates filtering),Year of topics max popularity (After dates filtering),Year of topics min popularity (After dates filtering),Fraction of papers that were reviews in year of topics max popularity,Fraction of papers that were reviews in year of topics lowest popularity,Average topic reviews popularity value (After dates filtering)
SNP,1950,1977,0.49,0.88,0.04,0.04,27,43,42,162.28,437.75,4.58,2013,1986,0.04,0.0,5.74
Synthetic Biology,1959,1969,11.2,-0.42,0.12,0.11,10,51,42,121.87,335.61,15.21,2019,1985,0.19,0.16,18.77
acetylcholine,1945,1950,36.75,0.99,0.08,0.08,5,70,42,359.91,513.6,142.33,1993,2020,0.09,0.14,32.21
amygdala,1945,1950,6.81,0.74,0.07,0.06,5,70,42,142.67,187.22,88.62,2012,1979,0.11,0.03,13.74
ancient bacteria,1950,1969,1.46,0.9,0.46,0.32,19,51,42,16.71,33.39,1.43,2016,1986,0.28,0.0,3.69
ancient dna,1974,1979,0.24,-14.5,0.05,0.04,5,41,41,27.35,47.04,1.35,2014,1982,0.09,0.0,2.7
ancient viruses,1963,1972,0.49,1.0,0.67,0.4,9,48,42,5.22,11.51,0.31,2020,1984,0.28,0.0,1.55
antibiotic,1945,1950,272.58,1.0,0.1,0.09,5,70,42,2925.69,3358.66,2691.32,1984,2015,0.06,0.12,300.03
antibiotic resistance,1945,1950,44.29,1.0,0.1,0.09,5,70,42,676.19,936.27,434.06,2019,1988,0.12,0.1,81.58
aquaphonic agriculture,1945,1950,57.92,1.0,0.07,0.06,5,70,42,1526.54,4521.3,271.55,2020,1980,0.08,0.03,102.82
archaea,1945,1953,3.65,1.0,0.07,0.07,8,67,42,106.55,166.91,33.13,2001,1982,0.12,0.04,11.22
autism,1946,1951,7.79,0.27,0.18,0.16,5,69,42,150.23,407.73,39.84,2019,1981,0.13,0.05,23.49
