ICD10,f41202,All
M8965,0,1
M162,26,30
A165,9,10
M9013,0,1
M5462,0,1
F510,2,17
W255,0,15
L102,2,3
Z098,3009,3417
T328,0,1
R861,7,9
R400,115,402
E754,0,1
H258,1849,1910
K117,20,44
H000,158,230
R560,6,13
M036,1,2
M843,6,8
Y524,0,204
E749,1,1
T604,2,3
W313,0,5
M5419,46,78
P051,0,1
Z270,0,4
Z119,12,39
H527,44,50
S641,18,54
H702,1,1
M0099,5,15
X595,0,4
G902,22,99
T240,19,40
M671,67,106
B951,1,334
M405,1,6
K318,866,2932
K137,1966,2209
M4134,1,7
B942,0,2
O064,10,10
S429,22,25
K678,0,2
X9909,0,1
Y149,0,7
M245,31,47
N897,2,4
A779,5,5
M650,1,2
F051,12,32
T297,1,1
H280,1,27
X469,0,6
X465,0,1
T908,1,50
V961,0,17
Z518,56,1272
M9493,1,2
Y0499,0,13
M8185,1,6
Q238,1,6
S258,1,2
N079,1,4
R71,27,80
N259,6,23
A192,1,1
A770,1,1
O660,55,110
M1120,4,6
M2404,5,14
N852,285,1404
Z612,0,2
M8695,18,30
S824,56,87
V480,0,18
M8996,35,60
Z717,0,2
M0518,0,1
L700,31,45
C241,69,89
M7029,3,3
L983,2,4
E349,64,94
L662,4,5
P835,2,3
W221,0,4
S664,4,6
S0210,128,329
Z851,0,744
S899,148,249
V484,0,79
I634,93,109
H311,5,30
S636,107,142
H405,105,180
S7290,24,32
W7089,0,1
H536,0,1
F959,0,3
B908,0,3
S3650,3,7
N052,24,52
F230,20,21
M7796,13,20
K753,12,27
T753,5,6
Z914,0,12
J850,6,18
V583,0,2
H183,6,16
T850,41,52
R293,2,3
Q281,1,3
M0738,0,9
T608,1,1
M660,95,104
M0299,3,6
M8958,0,1
E147,1,3
N481,220,323
Q240,0,17
W182,0,165
S024,92,124
D100,72,79
I841,2332,3069
I832,52,76
Q257,7,12
M0899,2,7
M7084,1,1
Y349,0,33
E752,7,13
C499,28,66
T611,4,4
A269,0,1
L410,4,6
X045,0,1
L941,0,2
Z022,0,1
K252,6,7
Z969,0,46
S809,182,457
M8786,6,9
O367,9,10
M2487,43,64
L244,1,2
N172,1,6
T934,0,5
X1503,0,2
S9340,1,1
V921,0,2
W409,0,9
V960,0,3
X431,0,1
S666,31,72
M4016,1,1
R392,0,4
J324,76,131
N981,39,39
V031,0,399
M2536,37,46
W173,0,22
N041,15,24
O288,2,6
Z827,2,104
M9326,1,4
E062,1,2
M4882,2,11
N10,202,233
M1998,50,296
H105,6,10
W033,0,189
M0086,10,11
F602,9,19
C916,1,1
Z835,0,1061
Y813,0,8
S340,0,1
X5090,0,1
Y158,0,1
Y099,0,186
R222,256,376
M0737,2,23
F119,0,6
A059,20,20
F107,11,24
R008,91,262
M8660,0,2
R401,15,36
X126,0,1
I050,58,130
M6080,2,2
D169,18,22
