ICD10,f41202,All
X655,0,8
X9982,0,1
M2407,57,118
M6517,1,1
C715,7,10
B200,5,5
E784,1,97
M863,1,1
E211,10,75
O16,562,771
C783,8,20
G620,5,75
S045,3,6
Y603,0,6
X458,0,4
W2092,0,1
Y470,0,1
M0639,3,3
M8446,0,2
R638,88,300
M6644,3,3
Y823,0,9
D66,38,84
M8951,1,3
N304,40,60
Y129,0,2
G412,1,10
J441,1262,1416
M0800,7,15
D471,143,276
A810,16,17
T227,3,4
B851,0,1
C820,38,71
N499,4,6
T271,0,1
A46,121,138
B008,6,15
V282,0,22
W129,0,48
Y564,0,12
M6544,70,85
H544,18,342
Y760,0,4
M6266,20,21
C695,4,6
T10,1,4
W889,0,2
V0308,0,1
O664,24,33
S100,4,6
K551,26,43
X234,0,3
M5410,7,12
L705,1,1
Q334,1,2
R161,49,449
Q611,0,1
F04,0,4
R634,1611,6804
M9408,15,16
J989,43,103
A164,1,1
D032,27,43
M0729,0,3
U512,0,7
G618,83,89
E877,96,595
G935,9,48
Q224,0,1
B354,0,9
C812,17,51
K769,269,782
E43,1,7
Q984,9,31
X352,0,2
T412,3,6
M2329,229,260
T848,1816,2022
T915,0,6
B888,0,1
E220,102,124
M7952,8,9
Z383,1,3
Q318,1,5
M719,10,28
W0330,0,5
W199,1,3753
M0093,15,16
O326,9,16
M954,5,29
O228,1,3
G021,0,4
I461,1,10
M6280,43,86
H906,28,64
I518,118,1473
S250,3,4
Q682,1,2
M303,1,2
X594,0,33
Y019,0,3
V149,0,11
M6283,9,22
K132,344,372
L858,251,293
M239,103,139
S764,29,33
M2393,14,19
C437,724,1202
M4785,8,25
T116,1,1
M6593,98,189
C188,34,59
V439,0,37
M4200,0,1
W495,0,5
D738,14,41
T812,160,1775
G939,112,219
V272,0,3
E163,0,1
H46,87,142
N990,14,132
I424,5,11
H312,1,4
N008,1,5
Y919,0,87
E46,25,186
Z451,105,236
C729,3,5
M7069,8,12
F200,274,340
S878,7,10
Q210,14,88
N770,0,6
H609,221,320
Y589,0,1
H213,1,1
Y515,0,13
W104,0,70
E802,5,21
N978,13,24
M9956,0,1
Z309,7,14
O801,4,4
W021,0,1
W0108,0,3
F988,0,2
J981,198,2421
X492,0,3
Z529,3,4
S333,4,5
X4599,0,1
O730,104,222
M6506,1,1
Z754,0,44
X430,0,18
A499,38,139
Z354,6,77
D232,134,151
W2503,0,2
X609,0,1038
B964,0,328
F520,14,21
H508,17,24
T132,9,9
S967,1,2
K589,1284,6245
Q831,54,54
O044,114,114
K221,4143,6184
M433,1,1
X611,0,5
M8380,0,15
O681,693,1185
F432,238,305
S2700,151,321
E806,2,30
S437,2,6
Z971,0,31
C048,5,6
T146,19,29
M4700,1,2
N26,25,145
C471,7,13
C413,5,12
Q750,1,3
M0583,4,4
S0681,1,3
M2359,15,32
D487,76,100
X5988,0,1
K062,40,41
Y055,0,2
D595,7,8
M2386,20,40
F951,1,2
G049,88,161
D840,0,1
C914,72,83
W289,0,23
M8401,29,43
X705,0,1
O264,0,8
W544,0,29
H833,2,15
W45,0,3
T493,0,1
B479,2,8
V221,0,1
C252,55,91
C632,10,20
G401,77,145
M4790,89,263
Z805,8,243
M7296,3,4
G571,72,92
G523,6,16
X919,0,2
K868,181,459
K501,484,613
K922,4251,6520
G048,24,33
I614,46,51
G603,3,6
Z894,0,211
V947,0,2
H491,37,61
H171,0,1
Q150,8,17
M615,1,2
Q978,0,1
O063,2,2
M5466,4,4
V795,0,2
G992,47,1180
B018,8,11
Q873,1,2
D762,0,1
X000,0,20
H031,2,49
M213,18,96
S6271,28,31
K317,2351,5074
D219,18,33
